"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
811,648,1021,1806,308,775,303,82,668,84,75,1950,1086,1941,7,643,43,1173,1633,1788,1476,1623,800,1746,542,1865,709,605,1089,64,1430,1976,1909,548,188,271,665,1343,206,998,160,1831,1040,1373,1441,814,1687,229,777,1456
1899,1653,881,979,330,1216,1307,53,1663,1996,528,1775,1886,179,469,1081,1970,96,447,882,28,1957,363,1313,340,987,1212,1404,433,1837,1074,1329,698,449,172,1494,1644,428,1031,757,1435,1194,1285,1652,1702,217,1938,1107,913,520
760,1985,1103,1453,986,1444,917,306,173,1703,1397,139,518,1648,1262,526,897,1004,1593,458,1826,729,1106,822,1301,51,948,849,1024,1274,1051,189,223,1881,1493,1083,1185,1665,1265,962,111,70,1294,120,790,716,1209,1104,786,990
662,1654,833,1832,1863,1567,740,1454,1133,682,1123,122,1992,1898,59,86,156,1,259,158,400,25,816,117,972,774,610,1536,1738,1750,791,1645,1211,1402,55,1481,1483,1575,262,494,1754,1581,1413,275,472,727,596,826,509,1369
444,717,1769,151,1823,1346,1353,1836,741,1361,1236,1521,1038,233,4,1263,947,1501,1177,1189,1459,1537,957,328,513,1436,1169,1181,1974,783,1381,1124,133,222,273,1391,1385,30,1145,758,1284,488,212,1608,1016,1070,909,1278,751,493
1770,1502,1682,670,1130,1007,997,654,603,916,1798,1728,1023,50,235,248,1741,1533,1400,1698,529,582,1034,902,454,167,1954,106,119,1306,1675,1279,1164,960,402,1888,1627,244,932,5,907,514,964,219,1553,1091,355,13,1379,1264
841,1378,879,1711,1345,898,531,1010,1895,1555,536,149,1390,1310,1150,465,202,1077,1239,504,71,1420,1241,1114,1856,550,930,1168,1571,407,1112,1376,1811,1676,1232,1320,1720,660,888,450,1286,884,837,1848,1330,1396,1631,1624,1977,1519
845,1674,834,1299,324,1044,1228,409,394,1188,762,802,383,1489,914,240,326,1206,307,387,1377,45,295,699,636,1962,174,878,896,348,1596,691,530,1438,490,585,1893,322,1340,343,1363,1367,768,1749,1028,1269,1485,1061,1994,1680
1157,1677,674,1815,1465,1098,929,225,124,1661,140,1613,1085,1963,396,919,325,953,1972,1758,1621,1606,121,568,861,915,1857,221,1740,1068,675,1242,382,1350,62,1923,778,657,346,109,1230,539,1540,1201,374,540,1851,1356,292,389
1945,1673,556,1764,349,846,794,877,209,366,1213,1395,1883,1425,190,1005,724,432,537,532,282,607,1656,1812,112,1008,1544,274,461,745,1109,604,863,1647,191,1234,887,1405,771,1921,424,1238,381,1225,439,1956,1251,1463,1813,608
705,1636,1507,1035,813,963,329,148,413,1407,398,1916,1140,1668,29,1793,1809,650,739,780,90,1796,931,1998,238,1092,316,258,182,647,516,1822,1751,6,186,1619,97,1582,36,1531,1695,750,1063,213,1191,1179,549,1756,1296,574
788,1937,429,1219,1605,798,1362,1254,1797,15,411,900,1256,806,385,1803,1409,1744,210,208,211,313,1115,76,797,1057,1818,934,926,21,1562,130,1731,1195,1111,1193,835,242,1658,1982,427,1855,1978,1824,114,236,496,1312,1144,227
1233,1422,1386,1339,1408,761,1846,923,284,125,1882,1244,399,1480,1445,1125,40,102,1370,946,736,58,1628,1253,1183,1414,1002,873,640,581,651,1872,1495,143,138,1197,891,380,1389,23,180,136,1814,468,1393,1723,1315,1062,679,1657
1842,299,669,599,1490,1993,1308,620,379,598,1131,723,1780,563,232,623,583,297,1716,1224,985,1965,1789,1240,625,1078,1532,1354,968,486,645,257,94,588,1556,1026,278,626,1419,678,1293,1565,715,1410,251,1626,364,728,676,1258
1012,1964,639,707,906,1742,1825,1752,1458,1853,1060,480,34,838,312,1178,630,298,1374,1428,365,545,1591,889,214,609,92,1045,127,1184,1156,434,42,1013,1047,497,1132,243,1924,1137,354,1795,743,1128,1638,954,1368,203,1309,557
1116,1401,1969,1344,1667,1892,1491,1566,463,564,491,787,666,1850,706,722,137,1550,1734,507,1542,694,309,933,1323,951,1778,782,1849,1564,1854,815,1632,1597,150,252,154,230,755,1446,1820,1050,696,1683,685,586,1261,589,1358,865
1953,175,940,1912,1708,1192,1864,1800,1852,438,98,1765,921,369,1203,1509,893,481,1058,1919,201,93,672,19,1046,789,1989,1462,1843,1290,216,1599,1471,1584,959,1601,1366,1722,772,1833,937,289,810,1432,455,1914,1678,1314,659,1127
1255,843,318,1003,459,1727,1138,1794,592,1576,1318,1771,1101,565,1175,601,1552,858,1791,606,378,1268,1607,1625,1019,1862,1928,920,1986,1075,327,1096,1347,176,1336,1304,1637,1785,1799,950,1210,1372,1328,1020,1845,1439,746,538,1122,1322
779,904,239,157,634,521,870,287,664,1528,571,1733,547,1580,1790,525,735,484,1585,1513,1808,500,418,1804,241,1380,1690,1724,1669,345,263,924,246,183,996,773,1747,1375,984,1300,69,730,1640,967,1276,1415,1327,492,1662,1670
1858,1541,1427,1147,234,828,1817,1500,1520,687,1291,1072,1246,417,445,129,1297,270,1545,1048,2000,999,1067,288,1614,39,1196,1968,1911,874,1172,649,852,1271,1884,763,1001,652,1079,310,1022,1464,249,1099,1829,1558,1922,576,1948,994
1511,1524,508,808,1348,1392,1525,48,1433,495,1867,1163,1869,939,807,26,899,1298,1102,1588,575,1222,1935,1563,1287,1267,153,688,406,1947,1316,918,1030,1341,404,827,1870,700,419,1887,510,1617,1712,247,667,1421,864,1275,420,912
1908,966,1134,627,661,1717,886,107,441,370,237,977,944,1451,1834,336,1570,1288,352,1739,566,1776,793,1779,1223,1949,1535,1387,1231,1879,1691,1692,593,185,16,1568,1324,1660,1141,440,1516,573,970,1049,359,1384,1726,1418,339,305
1838,712,1332,24,1527,1730,1651,871,72,1773,1110,1227,1877,1487,57,1135,853,829,371,595,1573,911,684,1609,1868,1477,1875,302,821,905,1650,892,61,1198,1936,443,1760,766,286,534,1610,686,1450,423,885,392,1847,611,1431,331
104,955,988,388,196,702,35,170,1443,554,1295,1221,851,749,776,1930,501,254,1249,108,587,619,1166,1097,1148,1426,1066,1642,1643,56,1910,1767,116,1821,435,1170,580,956,1204,1282,395,231,1273,320,952,989,850,731,415,653
1710,552,1351,927,1763,792,1417,1518,1371,1686,1902,1629,1492,77,1835,74,523,204,1517,2,1186,442,708,1696,872,693,1482,155,431,515,880,1704,1939,1496,1455,1577,976,995,1915,1999,1783,1302,1918,567,1873,1510,1981,1126,1890,22
