"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120"
1534,1463,437,816,814,763,1853,1717,1300,840,109,1400,1336,903,589,1333,574,1413,827,680,980,1194,506,1774,1813,78,466,1958,1340,978,474,1375,1849,476,1998,1943,739,1388,900,406,1949,1218,325,1609,1944,159,461,1681,1978,1537,382,1551,1837,1011,715,947,625,893,595,943,1235,1055,1968,959,1501,1882,951,1938,1164,820,1074,351,1971,1993,349,1640,431,1374,540,1128,712,811,216,231,876,1809,1803,1461,837,1,347,668,1730,717,863,1195,1980,1031,1491,1032,1407,1107,1948,139,228,447,1767,1981,546,1699,1220,1907,563,1612,906,1266,130,316,326,92
1115,1227,803,1472,1887,774,917,965,127,116,1924,307,1632,1234,165,758,1838,1860,1277,998,1817,1350,982,1354,1450,223,708,353,937,356,129,974,675,1784,830,692,1233,32,1077,1845,383,1804,778,1852,95,58,1209,1422,889,1671,1064,1820,1496,262,156,872,362,1992,1762,1034,841,1114,120,1722,1660,1292,963,83,809,1835,1024,939,1751,1815,1712,253,66,1603,1816,896,1372,272,1904,1888,892,36,1788,1118,1580,1016,1427,294,1249,801,991,1889,433,1349,1469,1969,500,1197,1683,478,329,1317,1394,1652,238,756,185,541,1370,1174,886,350,1778,1669,1078,501
211,785,1307,898,463,1303,573,1561,1274,529,1679,359,604,992,1761,1814,1367,1656,764,1222,1480,1286,177,88,769,1507,1794,1196,1426,1657,1173,380,373,1293,1210,281,171,1423,1925,1487,1554,1013,799,512,1741,1936,734,808,1929,345,1123,1556,1793,806,493,240,620,1618,1512,1323,711,297,972,1373,1648,191,1792,782,1360,1614,1731,236,429,1126,684,643,1759,535,1324,243,504,434,132,821,1269,713,1744,934,1498,1063,1152,178,644,941,912,1275,457,1552,610,46,1708,949,671,788,200,1664,1598,1854,683,1143,614,826,1765,80,1514,1067,709,850,1745,1743
795,125,1117,1386,1231,663,393,878,101,599,1162,1411,647,1140,361,1445,460,1834,532,1037,1048,1597,179,676,1933,621,553,824,1365,1982,22,313,1018,572,699,67,1467,28,1458,585,1879,1601,1334,75,1503,1289,688,1179,1244,519,920,777,1570,882,1583,1642,1772,1703,1284,1207,598,471,1251,1884,1818,1182,695,1271,1569,754,1432,370,483,1959,444,559,957,700,1420,289,1790,482,1175,1154,1438,1319,1955,790,1493,1311,1278,229,1589,1873,1198,1075,520,1747,1576,1171,1224,1455,696,1405,1692,1238,64,1668,1015,1387,487,702,750,1419,51,1783,27,1564,836,265
1392,1239,1565,1526,1542,55,1488,522,1847,1066,1557,667,1189,1072,45,286,1957,1169,303,499,1468,1627,1099,237,252,584,616,640,1061,1385,1842,1102,1267,1417,207,600,1181,1581,398,645,1920,560,1471,813,469,936,1675,690,1254,1723,779,1939,704,648,659,421,565,564,108,1578,1006,1383,1962,84,1701,940,1540,408,1060,1167,718,54,1996,388,1176,1633,930,33,1605,1827,1449,163,1415,800,1538,842,241,97,451,467,929,1041,1393,1081,724,1237,1436,123,148,1824,1686,1596,1780,449,486,1502,822,403,151,1430,302,1263,854,1019,791,952,48,1797,870,967
1338,1014,366,1376,1065,728,315,1710,1573,1832,1272,142,1913,1611,1543,1485,834,1951,796,1885,1718,63,1361,271,1729,367,1521,239,204,859,797,1339,853,729,848,1719,1724,1148,628,502,107,1366,1452,1914,300,926,1505,387,1454,1536,376,1584,568,155,1851,1684,284,1534,1463,437,816,814,763,1853,1717,1300,840,109,1400,1336,903,589,1333,574,1413,827,680,980,1194,506,1774,1813,78,466,1958,1340,978,474,1375,1849,476,1998,1943,739,1388,900,406,1949,1218,325,1609,1944,159,461,1681,1978,1537,382,1551,1837,1011,715,947,625,893,595,943,1235,1055,1968
1355,61,1665,831,113,1439,1952,248,1098,575,1868,1571,418,40,232,1808,1963,13,891,377,1622,453,914,669,1500,74,1895,14,1049,1377,110,1150,613,348,1590,1898,606,34,971,858,987,1262,1163,1337,167,492,1870,1990,654,195,1694,864,401,145,1305,823,104,1115,1227,803,1472,1887,774,917,965,127,116,1924,307,1632,1234,165,758,1838,1860,1277,998,1817,1350,982,1354,1450,223,708,353,937,356,129,974,675,1784,830,692,1233,32,1077,1845,383,1804,778,1852,95,58,1209,1422,889,1671,1064,1820,1496,262,156,872,362,1992,1762,1034,841,1114,120
653,1867,1548,1151,576,1639,1250,552,513,1483,98,1347,741,1003,1940,1802,786,1046,1866,1191,1932,1810,932,1977,1859,1002,829,1138,1749,1322,372,157,199,150,751,1562,655,1522,1579,1059,479,508,954,389,1180,633,1202,1617,395,182,847,1105,986,299,1508,334,459,211,785,1307,898,463,1303,573,1561,1274,529,1679,359,604,992,1761,1814,1367,1656,764,1222,1480,1286,177,88,769,1507,1794,1196,1426,1657,1173,380,373,1293,1210,281,171,1423,1925,1487,1554,1013,799,512,1741,1936,734,808,1929,345,1123,1556,1793,806,493,240,620,1618,1512,1323,711,297,972
1931,503,65,1544,1088,661,615,339,1558,714,9,1332,247,298,626,1402,1335,1240,102,1489,747,115,897,1518,62,317,1825,921,1592,266,533,1062,1757,582,931,630,1568,1829,861,1520,1631,21,1242,1261,1525,126,927,1900,8,1964,93,1482,1644,495,1899,1200,1983,795,125,1117,1386,1231,663,393,878,101,599,1162,1411,647,1140,361,1445,460,1834,532,1037,1048,1597,179,676,1933,621,553,824,1365,1982,22,313,1018,572,699,67,1467,28,1458,585,1879,1601,1334,75,1503,1289,688,1179,1244,519,920,777,1570,882,1583,1642,1772,1703,1284,1207,598,471,1251
1909,798,458,1257,1711,910,1928,1414,1490,511,440,1805,1690,1643,305,556,436,358,16,524,1362,1550,547,983,1213,1131,374,1087,275,1630,205,399,1966,489,1279,975,691,233,1807,1186,1494,1325,805,426,1510,1391,1318,1291,368,537,603,414,369,590,1585,1833,1634,1392,1239,1565,1526,1542,55,1488,522,1847,1066,1557,667,1189,1072,45,286,1957,1169,303,499,1468,1627,1099,237,252,584,616,640,1061,1385,1842,1102,1267,1417,207,600,1181,1581,398,645,1920,560,1471,813,469,936,1675,690,1254,1723,779,1939,704,648,659,421,565,564,108,1578,1006,1383,1962
